City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Beaufort,MY,5.3473,115.7455,74.77,92,73,2.28,broken clouds
234,Vao,NC,-22.6667,167.4833,78.71,88,100,21.54,overcast clouds
235,Manokwari,ID,-0.8667,134.0833,77.85,81,100,3.65,overcast clouds
236,Mandurah,AU,-32.55,115.7,70.92,85,81,17.63,broken clouds
237,Celestun,MX,20.8667,-90.4,85.14,61,1,11.5,clear sky
238,Semnan,IR,35.5729,53.3971,73.24,15,0,2.3,clear sky
239,Gorno-Altaysk,RU,51.9561,85.955,38.91,89,100,4.52,overcast clouds
240,Tual,ID,-5.6667,132.75,81.97,67,38,5.46,scattered clouds
241,Pato Branco,BR,-26.2286,-52.6706,77.04,61,93,9.91,overcast clouds
242,Amursk,RU,50.2261,136.8994,32.72,92,100,13.06,overcast clouds
243,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,70.07,73,100,9.46,overcast clouds
244,Fairbanks,US,64.8378,-147.7164,12.31,78,100,0.0,overcast clouds
245,Lake City,US,30.1897,-82.6393,73.8,33,0,5.97,clear sky
246,Katsuura,JP,35.1333,140.3,55.72,75,100,17.56,light rain
247,Paso De Los Toros,UY,-32.8167,-56.5167,65.73,91,100,6.53,overcast clouds
248,Bonthe,SL,7.5264,-12.505,84.97,65,72,11.36,broken clouds
249,Fortuna,US,40.5982,-124.1573,49.93,82,75,10.36,broken clouds
250,Sisimiut,GL,66.9395,-53.6735,35.35,88,75,1.43,broken clouds
251,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,72,14,17.69,few clouds
252,Lima,PE,-12.0432,-77.0282,68.25,73,0,9.22,clear sky
253,Ditzingen,DE,48.8267,9.067,39.04,60,75,5.75,broken clouds
254,Sioux Lookout,CA,50.1001,-91.917,35.67,75,100,2.3,overcast clouds
255,Alingsas,SE,57.9303,12.5335,42.51,74,98,10.2,overcast clouds
256,Osmanabad,IN,18.1667,76.05,95.34,13,98,7.9,overcast clouds
257,Constitucion,CL,-35.3333,-72.4167,62.11,43,1,18.68,clear sky
258,Nanchang,CN,28.6833,115.8833,56.7,64,55,3.33,broken clouds
259,Tifton,US,31.4505,-83.5085,71.89,39,0,4.61,clear sky
260,Port-Gentil,GA,-0.7193,8.7815,82.36,78,20,12.66,few clouds
261,Ambatondrazaka,MG,-17.8333,48.4167,66.88,88,31,2.42,scattered clouds
262,Tuatapere,NZ,-46.1333,167.6833,47.39,92,63,2.55,broken clouds
263,Tambun,ID,-6.2641,107.0712,85.46,77,100,4.05,overcast clouds
264,Lebu,CL,-37.6167,-73.65,56.5,61,6,12.39,clear sky
265,San Cristobal,VE,7.7669,-72.225,80.78,48,95,6.51,overcast clouds
